,결과,A팀_선수1_공격종합_성공률,A팀_선수1_오픈_성공률,A팀_선수1_시간차_성공률,A팀_선수1_이동_성공률,A팀_선수1_후위_성공률,A팀_선수1_속공_성공률,A팀_선수1_퀵오픈_성공률,A팀_선수1_서브_성공률,A팀_선수1_범실_범실,A팀_선수2_공격종합_성공률,A팀_선수2_오픈_성공률,A팀_선수2_시간차_성공률,A팀_선수2_이동_성공률,A팀_선수2_후위_성공률,A팀_선수2_속공_성공률,A팀_선수2_퀵오픈_성공률,A팀_선수2_서브_성공률,A팀_선수2_범실_범실,A팀_선수3_공격종합_성공률,A팀_선수3_오픈_성공률,A팀_선수3_시간차_성공률,A팀_선수3_이동_성공률,A팀_선수3_후위_성공률,A팀_선수3_속공_성공률,A팀_선수3_퀵오픈_성공률,A팀_선수3_서브_성공률,A팀_선수3_범실_범실,A팀_선수4_공격종합_성공률,A팀_선수4_오픈_성공률,A팀_선수4_시간차_성공률,A팀_선수4_이동_성공률,A팀_선수4_후위_성공률,A팀_선수4_속공_성공률,A팀_선수4_퀵오픈_성공률,A팀_선수4_서브_성공률,A팀_선수4_범실_범실,A팀_선수5_공격종합_성공률,A팀_선수5_오픈_성공률,A팀_선수5_시간차_성공률,A팀_선수5_이동_성공률,A팀_선수5_후위_성공률,A팀_선수5_속공_성공률,A팀_선수5_퀵오픈_성공률,A팀_선수5_서브_성공률,A팀_선수5_범실_범실,B팀_선수1_공격종합_성공률,B팀_선수1_오픈_성공률,B팀_선수1_시간차_성공률,B팀_선수1_이동_성공률,B팀_선수1_후위_성공률,B팀_선수1_속공_성공률,B팀_선수1_퀵오픈_성공률,B팀_선수1_서브_성공률,B팀_선수1_범실_범실,B팀_선수2_공격종합_성공률,B팀_선수2_오픈_성공률,B팀_선수2_시간차_성공률,B팀_선수2_이동_성공률,B팀_선수2_후위_성공률,B팀_선수2_속공_성공률,B팀_선수2_퀵오픈_성공률,B팀_선수2_서브_성공률,B팀_선수2_범실_범실,B팀_선수3_공격종합_성공률,B팀_선수3_오픈_성공률,B팀_선수3_시간차_성공률,B팀_선수3_이동_성공률,B팀_선수3_후위_성공률,B팀_선수3_속공_성공률,B팀_선수3_퀵오픈_성공률,B팀_선수3_서브_성공률,B팀_선수3_범실_범실,B팀_선수4_공격종합_성공률,B팀_선수4_오픈_성공률,B팀_선수4_시간차_성공률,B팀_선수4_이동_성공률,B팀_선수4_후위_성공률,B팀_선수4_속공_성공률,B팀_선수4_퀵오픈_성공률,B팀_선수4_서브_성공률,B팀_선수4_범실_범실,B팀_선수5_공격종합_성공률,B팀_선수5_오픈_성공률,B팀_선수5_시간차_성공률,B팀_선수5_이동_성공률,B팀_선수5_후위_성공률,B팀_선수5_속공_성공률,B팀_선수5_퀵오픈_성공률,B팀_선수5_서브_성공률,B팀_선수5_범실_범실
3,1,29.85,26.83,100.0,0.0,8.33,0.0,45.45,0.2,7.0,27.78,20.0,44.44,0.0,0.0,0.0,50.0,0.2,6.0,30.0,12.0,0.0,0.0,0.0,0.0,60.0,0.6,6.0,25.0,0.0,50.0,25.0,0.0,16.67,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,41.46,36.0,60.0,0.0,50.0,0.0,40.0,0.2,8.0,43.48,33.33,23.08,0.0,0.0,85.71,0.0,0.4,5.0,44.19,35.29,33.33,0.0,50.0,0.0,53.85,0.2,5.0,30.77,0.0,50.0,0.0,0.0,33.33,0.0,0.0,1.0,27.03,30.0,20.0,0.0,0.0,0.0,27.27,0.0,6.0
5,0,43.66,34.21,33.33,0.0,58.82,0.0,53.85,0.0,3.0,33.33,30.0,16.67,0.0,33.33,100.0,50.0,0.4,4.0,23.68,13.04,50.0,0.0,0.0,0.0,41.67,0.6,2.0,25.0,28.57,0.0,0.0,0.0,50.0,0.0,0.0,2.0,50.0,66.67,0.0,57.14,0.0,50.0,0.0,0.0,4.0,50.0,53.85,0.0,0.0,0.0,0.0,40.0,0.6,9.0,34.69,33.33,0.0,0.0,33.33,0.0,36.84,0.0,1.0,42.86,25.0,50.0,50.0,0.0,57.14,0.0,0.0,3.0,45.45,16.67,42.86,50.0,0.0,83.33,0.0,0.2,3.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
6,1,35.29,42.86,25.0,0.0,37.5,0.0,18.18,0.0,6.0,44.68,29.41,100.0,0.0,50.0,0.0,52.38,0.6,7.0,37.78,28.57,50.0,0.0,50.0,0.0,45.0,0.4,2.0,50.0,100.0,0.0,0.0,0.0,33.33,0.0,0.4,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.5,24.24,50.0,0.0,38.71,0.0,100.0,0.4,6.0,30.56,21.43,33.33,0.0,0.0,0.0,38.89,0.2,5.0,33.33,25.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,43.75,33.33,0.0,0.0,0.0,50.0,0.0,0.0,5.0,17.39,18.18,0.0,0.0,0.0,0.0,18.18,0.0,2.0
7,0,54.93,43.24,0.0,0.0,77.78,0.0,40.0,0.0,8.0,28.0,31.25,0.0,0.0,0.0,0.0,25.0,0.25,5.0,25.0,16.67,100.0,0.0,0.0,22.22,0.0,0.0,3.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,100.0,0.0,0.0,62.5,0.0,0.0,2.0,42.86,50.0,0.0,0.0,33.33,0.0,33.33,0.6,7.0,37.84,42.11,0.0,0.0,0.0,0.0,37.5,0.4,3.0,35.0,0.0,50.0,33.33,0.0,37.5,0.0,0.0,3.0,29.41,25.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0
8,1,39.02,29.41,0.0,0.0,56.25,0.0,33.33,0.33,5.0,32.43,38.89,100.0,0.0,0.0,0.0,28.57,0.0,9.0,28.57,15.0,0.0,0.0,33.33,0.0,44.44,0.5,5.0,60.0,100.0,0.0,0.0,0.0,50.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,50.0,50.0,0.0,0.0,46.15,0.0,60.0,0.2,5.0,35.48,31.82,100.0,0.0,0.0,0.0,42.86,0.2,2.0,41.18,30.0,58.82,0.0,25.0,0.0,0.0,0.6,3.0,42.86,50.0,0.0,100.0,0.0,40.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,51.11,47.06,50.0,0.0,57.14,0.0,50.0,0.0,6.0,42.11,33.33,50.0,0.0,0.0,0.0,44.44,0.33,1.0,26.92,11.76,0.0,0.0,0.0,0.0,62.5,0.33,5.0,14.29,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,22.22,0.0,0.0,0.0,0.0,40.0,0.0,0.33,0.0,43.75,36.67,100.0,0.0,46.67,0.0,0.0,0.0,6.0,20.0,30.43,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,50.0,0.0,12.5,0.0,0.33,2.0,20.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,11.11,25.0,0.0,0.0,0.0,0.0,0.0,0.33,3.0
11,0,28.57,20.69,0.0,0.0,40.0,0.0,44.44,0.67,4.0,12.5,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,47.37,28.57,40.0,0.0,33.33,0.0,90.0,0.0,2.0,40.0,40.0,0.0,0.0,0.0,66.67,0.0,0.33,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,46.67,44.44,0.0,0.0,62.5,0.0,33.33,0.0,5.0,43.75,60.0,50.0,0.0,0.0,0.0,60.0,0.33,2.0,63.64,0.0,66.67,0.0,0.0,71.43,0.0,0.67,2.0,26.67,11.11,66.67,0.0,0.0,0.0,50.0,0.67,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
12,1,48.72,56.52,0.0,0.0,25.0,0.0,75.0,0.33,4.0,50.0,28.57,57.14,0.0,100.0,0.0,100.0,0.0,2.0,50.0,52.63,100.0,0.0,0.0,0.0,0.0,0.0,1.0,18.18,0.0,33.33,0.0,0.0,50.0,0.0,0.0,2.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,44.58,42.55,0.0,0.0,47.06,0.0,50.0,0.2,3.0,36.67,27.27,0.0,0.0,0.0,0.0,62.5,0.2,5.0,40.0,100.0,0.0,33.33,0.0,37.5,0.0,0.0,2.0,20.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,1.0
13,0,44.12,62.5,37.5,0.0,35.48,0.0,46.15,0.0,5.0,39.47,28.57,0.0,0.0,75.0,0.0,50.0,0.0,6.0,62.86,46.15,40.0,0.0,0.0,0.0,82.35,0.0,2.0,40.0,50.0,0.0,0.0,0.0,33.33,0.0,0.25,4.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,29.31,30.0,0.0,0.0,23.81,0.0,50.0,0.25,6.0,28.57,33.33,0.0,0.0,0.0,0.0,37.5,0.25,2.0,28.57,0.0,0.0,0.0,0.0,33.33,0.0,0.25,0.0,32.14,25.0,36.36,0.0,0.0,30.77,0.0,0.25,2.0,33.33,26.67,50.0,0.0,0.0,0.0,38.46,0.0,8.0
14,0,36.92,29.41,0.0,0.0,30.77,0.0,55.56,0.5,5.0,50.0,71.43,0.0,33.33,0.0,50.0,0.0,0.25,2.0,64.71,50.0,60.0,0.0,0.0,83.33,100.0,0.25,0.0,29.55,35.29,0.0,0.0,16.67,0.0,31.58,0.0,5.0,33.33,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.73,44.0,33.33,0.0,37.5,0.0,0.0,0.4,8.0,38.46,45.71,0.0,0.0,20.0,0.0,33.33,0.4,10.0,35.71,33.33,0.0,66.67,0.0,28.57,0.0,0.0,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.57,0.0,0.0,40.0,0.0,25.0,0.0,0.33,0.0
